number,address,balance,perct_coins,first_in,last_in,ins,first_out,last_out,outs
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo
wallet: Binance-coldwallet","265,480 BTC ($13,020,298,019) +0.00339 BTC / -22647 BTC",1.40%,2018-10-18 14:59:18,2021-12-26 18:13:39,674,2018-10-18 15:19:26,2021-12-07 6:06:09,438
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97
wallet: Bitfinex-coldwallet","168,010 BTC ($8,239,952,750)",0.89%,2019-08-16 12:00:29,2021-12-13 15:57:04,81,2020-02-02 18:43:14,2021-11-12 14:40:40,78
3,1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,"120,023 BTC ($5,886,437,781) / +5063 BTC",0.63%,2019-02-06 3:18:39,2021-12-28 4:14:18,616,2019-02-10 22:58:57,2021-12-14 8:39:20,64
4,"37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs
wallet: 77604498","94,505 BTC ($4,634,948,792)",0.50%,2019-09-06 5:30:05,2021-11-14 21:13:31,120,2021-07-04 5:56:36,2021-07-04 6:10:14,2
5,"38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6
wallet: OKEX-coldwallet","84,067 BTC ($4,123,018,358)",0.44%,2016-03-14 23:20:01,2021-12-13 15:47:40,272,2016-03-15 18:57:11,2021-11-17 5:56:51,151
6,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,"79,957 BTC ($3,921,455,552)",0.42%,2011-03-01 11:26:19,2021-12-19 12:53:11,402,,,
7,"3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS 2-of-3
wallet: OKEX-coldwallet","75,417 BTC ($3,698,785,306) +11509 BTC / +1192 BTC",0.40%,2015-08-25 2:28:20,2021-12-28 1:43:29,1258,2015-08-25 22:44:05,2021-12-18 0:32:47,1073
8,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,"73,601 BTC ($3,609,725,253)",0.39%,2019-06-17 13:52:41,2021-09-12 18:31:35,38,,,
9,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6
wallet: Binance-coldwallet","71,434 BTC ($3,503,439,296)",0.38%,2018-11-13 15:11:02,2021-12-28 4:47:44,171,2018-11-13 15:11:02,2021-12-08 1:26:06,163
10,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,"69,370 BTC ($3,402,220,232)",0.37%,2020-11-03 22:31:39,2021-11-23 8:37:31,40,,,
11,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,"53,880 BTC ($2,642,516,477)",0.28%,2014-05-28 0:49:42,2021-11-17 8:38:22,129,,,
12,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,"51,830 BTC ($2,541,990,087)",0.27%,2018-01-07 15:45:18,2021-11-05 4:40:26,103,,,
13,1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,"44,000 BTC ($2,157,958,828)",0.23%,2019-11-24 16:11:20,2021-10-14 11:31:03,37,,,
14,3Gpex6g5FPmYWm26myFq7dW12ntd8zMcCY,"40,014 BTC ($1,962,461,589)",0.21%,2021-04-29 19:07:42,2021-10-14 11:31:03,7,,,
15,bc1q5shngj24323nsrmxv99st02na6srekfctt30ch,"40,000 BTC ($1,961,792,981)",0.21%,2019-05-01 11:20:30,2021-06-22 13:59:26,32,,,
16,3791kWYSb7F8FnPW5EipbxVtkRc2Pi2P8k,"38,712 BTC ($1,898,612,406) +38712 BTC / +38712 BTC",0.20%,2021-12-25 3:53:43,2021-12-25 3:53:43,1,,,
17,"385cR5DM96n1HvBDMzLHPYcw89fZAXULJP
wallet: Bittrex-coldwallet","38,602 BTC ($1,893,206,215)",0.20%,2018-12-21 2:16:25,2021-11-09 20:54:53,118,2019-01-09 23:58:55,2021-11-09 20:54:53,70
18,3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,"37,927 BTC ($1,860,106,716)",0.20%,2021-10-24 17:14:53,2021-10-24 17:14:53,1,,,
19,bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,"36,000 BTC ($1,765,619,328)",0.19%,2021-07-27 15:54:25,2021-07-28 12:28:29,17,,,
,,,,,,,,,
20,"159QgP4Ewvadjc4HDpaaR6pir2R4ZfzVfQ
wallet: 75561360","34,415 BTC ($1,687,863,867) / -2000 BTC",0.18%,2021-08-23 10:55:44,2021-11-05 12:02:37,88,2021-08-23 11:05:09,2021-12-09 11:29:58,12
21,"bc1q5pucatprjrqltdp58f92mhqkfuvwpa43vhsjwpxlryude0plzyhqjkqazp
wallet: 74771965","33,700 BTC ($1,652,796,453) / -575 BTC",0.18%,2021-01-13 10:17:16,2021-12-16 20:41:43,93,2021-01-22 19:09:44,2021-12-16 20:41:43,92
22,"3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh 2-of-2
wallet: CoinCheck","32,823 BTC ($1,609,786,459) -204.31 BTC / -54.9 BTC",0.17%,2019-10-01 5:09:30,2021-12-28 7:26:46,3844,2019-10-09 6:48:15,2021-12-28 6:56:25,3536
23,12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,"32,354 BTC ($1,586,783,254)",0.17%,2020-12-13 14:01:48,2021-07-15 19:02:35,14,,,
24,bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,"31,345 BTC ($1,537,307,440) +126.35 BTC / +1064 BTC",0.17%,2020-05-12 2:57:43,2021-12-28 7:46:39,4674,2020-07-20 4:53:29,2020-07-20 4:53:29,1
25,3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,"31,275 BTC ($1,533,881,260)",0.17%,2021-07-26 16:25:53,2021-07-26 16:25:53,1,,,
26,"12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr
wallet: 967","31,000 BTC ($1,520,380,559)",0.16%,2010-05-13 10:22:38,2021-11-17 8:38:22,134,2010-06-02 12:57:07,2010-07-25 1:35:23,4
27,"3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE
wallet: OKEX-coldwallet","30,006 BTC ($1,471,604,689) +271.61 BTC / +5387 BTC",0.16%,2021-02-17 19:32:22,2021-12-24 19:36:59,228,2021-04-20 23:27:40,2021-12-23 23:12:37,155
28,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,"28,151 BTC ($1,380,652,414)",0.15%,2010-04-06 0:47:07,2021-12-09 17:04:44,135,,,
29,3JJpCZCk4h4TpQeU7SA1yhH768Xgbtdbfg,"26,606 BTC ($1,304,851,440) +250 BTC / +2750 BTC",0.14%,2021-09-29 18:14:59,2021-12-27 19:19:13,21,2021-10-07 0:42:42,2021-12-15 22:31:55,2
30,"1ftuUgzrr5hnVzXnFBDjELvVe69rPtBRi
wallet: OKEX-coldwallet","25,350 BTC ($1,243,276,118) +1331 BTC / +14430 BTC",0.13%,2018-07-26 8:40:56,2021-12-27 11:17:16,593,2018-07-26 10:04:25,2021-11-22 7:13:58,510
31,"bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg
wallet: 62621121","24,976 BTC ($1,224,942,447) -131.02 BTC / +21360 BTC",0.13%,2020-08-20 19:27:46,2021-12-27 22:48:38,3526,2020-08-20 22:22:23,2021-12-27 15:40:53,3518
32,17MWdxfjPYP2PYhdy885QtihfbW181r1rn,"24,495 BTC ($1,201,360,322)",0.13%,2020-12-13 13:50:54,2021-05-14 8:28:21,12,,,
33,"35ULMyVnFoYaPaMxwHTRmaGdABpAThM4QR
wallet: 67449162","24,305 BTC ($1,192,024,753)",0.13%,2020-07-13 23:07:13,2021-11-22 4:29:38,109,2020-08-20 22:45:17,2021-09-13 23:34:55,79
34,19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,"23,969 BTC ($1,175,545,845)",0.13%,2020-12-13 12:33:04,2021-05-14 8:28:21,14,,,
35,"3JZq4atUahhuA9rLhXLMhhTo133J9rF97j
wallet: Bitfinex-coldwallet","23,796 BTC ($1,167,048,987) -5832 BTC / +2374 BTC",0.13%,2018-11-02 21:14:44,2021-12-27 19:19:13,3293,2018-11-04 17:08:55,2021-12-22 23:24:09,3283
36,"1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2
wallet: 30100391","23,631 BTC ($1,158,945,094) -500 BTC /",0.12%,2016-08-04 12:29:39,2021-12-23 14:50:47,215,2016-11-18 15:58:35,2021-12-23 14:50:47,214
37,1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT,"22,900 BTC ($1,123,116,812)",0.12%,2020-03-17 14:28:00,2021-06-13 22:07:16,29,,,
38,bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz456m,"22,498 BTC ($1,103,424,642) +6121 BTC / +20468 BTC",0.12%,2021-11-14 14:38:03,2021-12-27 6:59:01,10,,,
39,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,"22,400 BTC ($1,098,595,079)",0.12%,2018-09-28 16:43:50,2021-11-17 8:50:32,77,2020-03-17 14:28:00,2020-03-17 14:28:00,53
40,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,"22,000 BTC ($1,078,977,306) +7200 BTC / +14000 BTC",0.12%,2021-10-11 14:39:15,2021-12-23 18:05:06,8,,,
41,"19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6
wallet: 62084963","21,917 BTC ($1,074,929,265) +362.4 BTC / -983.22 BTC",0.12%,2020-05-13 7:11:37,2021-12-28 8:36:08,48215,2020-05-13 7:22:17,2021-12-28 8:36:08,48171
42,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,"21,862 BTC ($1,072,193,942) -25696 BTC / -6270 BTC",0.12%,2021-10-08 9:14:44,2021-12-28 8:38:47,36850,2021-10-12 9:03:37,2021-12-28 8:38:47,26399
43,"3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh
wallet: OKEX-coldwallet","20,406 BTC ($1,000,813,446) / -26.89 BTC",0.11%,2019-01-22 18:38:08,2021-12-16 23:54:31,187,2019-01-24 21:11:53,2021-12-16 23:54:31,115
44,"3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1
wallet: OKEX-coldwallet","20,213 BTC ($991,323,695) -1.92 BTC / -1795 BTC",0.11%,2021-04-01 0:50:28,2021-12-25 17:52:45,116,2021-05-13 23:28:09,2021-12-24 23:14:42,106
