Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,"$1,142,933,773,613","$60,601.13",18.859.943 BTC,$31.666.908.768,"-0,12%","-1,13%","0,86%"
2,Ethereum,ETH,"$499,351,698,901","$4,226.31",118.153.082 ETH,$17.215.703.962,"0,09%","-1,36%","5,52%"
3,Binance Coin,BNB,"$85,871,185,438",$514.81,166.801.148 BNB *,$2.109.606.028,"-0,14%","-1,00%","8,79%"
4,Tether,USDT,"$70,321,740,657",$1.00,70.260.109.912 USDT *,$94.861.471.572,"0,01%","0,04%","0,05%"
5,Cardano,ADA,"$64,930,395,475",$1.95,33.271.319.193 ADA,$2.539.078.159,"-0,07%","-1,11%","-7,70%"
6,Solana,SOL,"$59,291,856,672",$196.83,301.230.673 SOL *,$2.308.813.942,"-0,58%","2,34%","4,27%"
7,XRP,XRP,"$51,248,758,144",$1.09,47.015.237.181 XRP *,$4.353.598.206,"0,01%","1,03%","1,38%"
8,Polkadot,DOT,"$41,792,391,556",$42.32,987.579.315 DOT *,$1.248.575.196,"0,10%","-1,25%","1,08%"
9,SHIBA INU,SHIB,"$37,345,251,123",$0.00006801,549.095.509.738.353 SHIB *,$8.713.645.001,"3,29%","-4,83%","56,38%"
10,Dogecoin,DOGE,"$34,305,967,769",$0.2601,131.916.121.102 DOGE,$3.195.162.503,"-0,11%","-5,02%","1,92%"
11,USD Coin,USDC,"$33,157,364,225",$1.00,33.155.189.646 USDC *,$4.243.746.470,"-0,01%","-0,01%","-0,04%"
12,Terra,LUNA,"$16,940,094,284",$42.28,400.688.103 LUNA *,$539.796.441,"-0,11%","-2,12%","3,96%"
13,Uniswap,UNI,"$15,432,532,400",$24.59,627.596.089 UNI *,$215.788.192,"0,36%","-0,56%","-4,40%"
14,Wrapped Bitcoin,WBTC,"$13,854,077,655","$60,561.05",228.762 WBTC *,$321.180.420,"-0,26%","-1,32%","0,75%"
15,Avalanche,AVAX,"$13,801,992,258",$62.65,220.286.577 AVAX *,$356.669.489,"0,05%","0,07%","-0,96%"
16,Binance USD,BUSD,"$13,622,147,641",$1.00,13.619.701.327 BUSD *,$8.183.272.033,"0,01%","-0,01%","-0,01%"
17,Chainlink,LINK,"$13,599,660,617",$29.40,462.509.554 LINK *,$894.278.666,"-0,11%","-1,70%","-0,39%"
18,Litecoin,LTC,"$13,067,036,773",$189.73,68.871.908 LTC,$2.154.253.905,"-0,08%","-0,92%","0,74%"
19,Polygon,MATIC,"$12,473,223,020",$1.84,6.783.681.381 MATIC *,$1.513.112.748,"-0,02%","-3,26%","18,39%"
20,Bitcoin Cash,BCH,"$11,209,663,321",$593.50,18.887.338 BCH,$1.362.946.339,"0,08%","1,24%","-3,05%"
21,Algorand,ALGO,"$11,170,455,731",$1.80,6.193.836.280 ALGO *,$286.219.845,"0,22%","-0,13%","-0,70%"
22,Stellar,XLM,"$8,885,511,683",$0.3674,24.185.450.593 XLM *,$1.128.412.608,"-1,28%","2,39%","-1,72%"
